"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"V(b64)"	""	"100"	"1.0"	"298.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"i"	""	"V"	""	""	"b64"	""	false
"V"	""	"100"	"3.0"	"300.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	""	""	""	false
"i\\\\"	""	"101"	"1.0"	"301.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"i"	""	""	""	""	true
"V7/IV"	""	"102"	"1.0"	"304.0"	"3/4"	"18"	"1"	"3"	12.0	"F"	"i"	""	"V"	""	"7"	""	"IV"	false
"V/bVII"	""	"106"	"1.0"	"316.0"	"3/4"	"18"	"1"	"3"	12.0	"F"	"i"	""	"V"	""	""	""	"bVII"	false
"#viio65"	""	"110"	"1.0"	"328.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"#vii"	"o"	"65"	""	""	false
"V65"	""	"111"	"1.0"	"331.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	"65"	""	""	false
"i(+2)"	""	"112"	"1.0"	"334.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"i"	""	""	"+2"	""	false
"i"	""	"113"	"1.0"	"337.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"i"	""	""	""	""	false
"V\\\\"	""	"114"	"1.0"	"340.0"	"3/4"	"18"	"1"	"3"	21.0	"F"	"i"	""	"V"	""	""	""	""	true
"V/vi"	""	"121"	"1.0"	"361.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	""	""	"vi"	false
"V(64)/ii"	""	"122"	"1.0"	"364.0"	"3/4"	"18"	"1"	"3"	11.0	"F"	"i"	""	"V"	""	""	"64"	"ii"	false
"V7/ii"	""	"125"	"3.0"	"375.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	"7"	""	"ii"	false
"V(64)/ii"	""	"126"	"1.0"	"376.0"	"3/4"	"18"	"1"	"3"	11.0	"F"	"i"	""	"V"	""	""	"64"	"ii"	false
"V7/ii"	""	"129"	"3.0"	"387.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	"7"	""	"ii"	false
"V7/V"	""	"130"	"1.0"	"388.0"	"3/4"	"18"	"1"	"3"	9.0	"F"	"i"	""	"V"	""	"7"	""	"V"	false
"V/V"	""	"133"	"1.0"	"397.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"i"	""	"V"	""	""	""	"V"	false
"V(64)/V"	""	"133"	"3.0"	"399.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	""	"64"	"V"	false
"V7/V"	""	"134"	"1.0"	"400.0"	"3/4"	"18"	"1"	"3"	9.0	"F"	"i"	""	"V"	""	"7"	""	"V"	false
"V/V"	""	"137"	"1.0"	"409.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"i"	""	"V"	""	""	""	"V"	false
"V"	""	"137"	"3.0"	"411.0"	"3/4"	"18"	"1"	"3"	4.0	"F"	"i"	""	"V"	""	""	""	""	false
"V7"	""	"139"	"1.0"	"415.0"	"3/4"	"18"	"1"	"3"	6.0	"F"	"i"	""	"V"	""	"7"	""	""	false
"V"	""	"141"	"1.0"	"421.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"i"	""	"V"	""	""	""	""	false
"V(64)"	""	"141"	"3.0"	"423.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	""	"64"	""	false
"V"	""	"142"	"1.0"	"424.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	""	""	""	false
"V7"	""	"143"	"1.0"	"427.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	"7"	""	""	false
"V"	""	"144"	"1.0"	"430.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	""	""	""	false
