"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"V(64)"	""	"22"	"1.0"	"64.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	""	"64"	""	false
"V"	""	"22"	"2.0"	"65.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	""	""	""	false
"i6"	""	"22"	"3.0"	"66.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"i"	""	"6"	""	""	false
"#viio"	""	"23"	"1.0"	"67.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"#vii"	"o"	""	""	""	false
"i(4+2)"	""	"24"	"1.0"	"70.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"i"	""	""	"4+2"	""	false
"VI"	""	"24"	"2.0"	"71.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"VI"	""	""	""	""	false
"viio7/V"	""	"24"	"3.0"	"72.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"vii"	"o"	"7"	""	"V"	false
"V[V"	""	"25"	"1.0"	"73.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	"V"	"V"	""	""	""	""	false
"i"	""	"26"	"1.0"	"76.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	"V"	"i"	""	""	""	""	false
"V"	""	"27"	"1.0"	"79.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	"V"	"V"	""	""	""	""	false
"i"	""	"28"	"1.0"	"82.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	"V"	"i"	""	""	""	""	false
"V]"	""	"29"	"1.0"	"85.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	"V"	"V"	""	""	""	""	false
"V6"	""	"30"	"1.0"	"88.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"i"	""	"V"	""	"6"	""	""	false
"ii"	""	"30"	"3.0"	"90.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"ii"	""	""	""	""	false
"V"	""	"31"	"1.0"	"91.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	""	""	""	false
"V43"	""	"32"	"1.0"	"94.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"i"	""	"V"	""	"43"	""	""	false
"ii"	""	"32"	"3.0"	"96.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"ii"	""	""	""	""	false
"V"	""	"33"	"1.0"	"97.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	""	""	""	false
"V43"	""	"34"	"1.0"	"100.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"i"	""	"V"	""	"43"	""	""	false
"vi"	""	"34"	"3.0"	"102.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"vi"	""	""	""	""	false
"V7"	""	"35"	"1.0"	"103.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"i"	""	"V"	""	"7"	""	""	false
"V7"	""	"36"	"1.0"	"106.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	"7"	""	""	false
"V2"	""	"36"	"2.0"	"107.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	"2"	""	""	false
"V43"	""	"36"	"3.0"	"108.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"i"	""	"V"	""	"43"	""	""	false
"I.I"	""	"37"	"1.0"	"109.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"37"	"2.0"	"110.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"viio7/V"	""	"37"	"3.0"	"111.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"o"	"7"	""	"V"	false
"V(4+2)"	""	"38"	"1.0"	"112.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	"4+2"	""	false
"V"	""	"38"	"2.0"	"113.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"V43/ii"	""	"38"	"3.0"	"114.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"ii"	false
"V(4)/V"	""	"39"	"1.0"	"115.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	"4"	"V"	false
"V6/V"	""	"39"	"2.0"	"116.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"6"	""	"V"	false
"#viio7/vi"	""	"39"	"3.0"	"117.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"#vii"	"o"	"7"	""	"vi"	false
"V(4+2)/ii"	""	"40"	"1.0"	"118.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	"4+2"	"ii"	false
"V/ii"	""	"40"	"2.0"	"119.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	"ii"	false
"V43/iii"	""	"40"	"3.0"	"120.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"iii"	false
"iii(4)"	""	"41"	"1.0"	"121.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"iii"	""	""	"4"	""	false
"iii6"	""	"41"	"2.0"	"122.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"iii"	""	"6"	""	""	false
"V/iii"	""	"41"	"3.0"	"123.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	"iii"	false
"iii"	""	"42"	"1.0"	"124.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"iii"	""	""	""	""	false
"vi"	""	"43"	"1.0"	"127.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vi"	""	""	""	""	false
"vi6"	""	"43"	"2.0"	"128.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vi"	""	"6"	""	""	false
"V/vi"	""	"43"	"3.0"	"129.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	"vi"	false
"vi"	""	"44"	"1.0"	"130.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"vi"	""	""	""	""	false
"I"	""	"45"	"1.0"	"133.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	false
"I6"	""	"45"	"2.0"	"134.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
"V"	""	"45"	"3.0"	"135.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"I"	""	"46"	"1.0"	"136.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"47"	"1.0"	"139.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"48"	"1.0"	"142.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"V7"	""	"49"	"1.0"	"145.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	"50"	"1.0"	"148.0"	"3/4"	"18"	"1"	"3"	4.0	"F"	"I"	""	"I"	""	""	""	""	false
"viio6"	""	"51"	"2.0"	"152.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	"52"	"1.0"	"154.0"	"3/4"	"18"	"1"	"3"	4.0	"F"	"I"	""	"I"	""	""	""	""	false
"viio6"	""	"53"	"2.0"	"158.0"	"3/4"	"18"	"1"	"3"	2.0	"F"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	"54"	"1.0"	"160.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"viio6"	""	"55"	"1.0"	"163.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"vii"	"o"	"6"	""	""	false
"I"	""	"56"	"1.0"	"166.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"I"	""	""	""	""	false
"#viio65/ii"	""	"57"	"1.0"	"169.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"#vii"	"o"	"65"	""	"ii"	false
"ii6"	""	"58"	"1.0"	"172.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	""	"59"	"1.0"	"175.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"60"	"1.0"	"178.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"I"	""	""	""	""	true
"#viio65/ii"	""	"61"	"1.0"	"181.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"#vii"	"o"	"65"	""	"ii"	false
"ii6"	""	"62"	"1.0"	"184.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V7"	""	"63"	"1.0"	"187.0"	"3/4"	"18"	"1"	"3"	3.0	"F"	"I"	""	"V"	""	"7"	""	""	false
"I\\\\"	""	"64"	"1.0"	"190.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	""	""	""	true
"I6"	""	"64"	"2.0"	"191.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"I"	""	"6"	""	""	false
